ID,성별,나이,머리둘레,키,목뒤높이,샅높이,목밑둘레,가슴둘레,젖가슴둘레,젖가슴아래둘레,허리둘레,배둘레,엉덩이둘레,겨드랑둘레,어깨가쪽사이길이,팔길이,등길이,귀구슬사이머리위길이,귀구슬사이너비,귀바퀴뿌리-귀바퀴뿌리뒤직선길이,발직선길이,몸무게
5_4464,남,18,570,1764,1500,808,415,903,872,814,773,802,957,389,443,612,414,375,146,23,260,65.5
5_4465,여,17,510,1558,1330,702,350,775,762,648,600,720,857,334,382,540,360,343,128,18,214,43
5_4466,여,17,570,1658,1410,768,475,880,913,777,764,862,977,400,385,565,380,408,144,22,241,63
5_4467,여,16,545,1608,1350,706,360,827,830,716,682,790,923,355,370,533,365,379,133,16,225,51.5
5_4468,여,17,545,1580,1330,703,380,885,934,767,770,825,934,380,390,535,365,375,127,21,215,58
5_4469,여,15,580,1623,1382,745,395,904,888,764,714,818,980,383,423,546,365,384,140,20,242,62.5
5_4470,여,15,560,1553,1330,735,385,830,822,690,697,780,874,347,373,540,358,365,134,19,230,48.5
5_4471,여,14,,1585,1327,738,375,755,738,667,587,657,832,337,365,538,324,390,136,18,228,44
5_4472,여,14,,1544,1297,743,365,798,790,693,673,712,875,338,392,540,335,387,128,20,243,46
5_4473,여,12,540,1548,1303,709,360,766,736,660,620,686,820,338,393,537,335,377,,20,223,43
5_4474,여,13,,1493,1257,692,380,844,858,720,705,784,888,370,375,500,327,383,133,22,237,51.5
5_4475,여,13,510,1440,1207,633,350,773,764,660,650,650,810,330,352,485,315,370,122,20,218,42.5
5_4476,여,11,500,1295,1095,592,300,592,570,542,527,530,647,260,305,425,293,355,117,20,203,24.5
5_4477,여,10,510,1357,1142,597,325,665,637,577,587,622,718,313,348,445,325,355,123,21,204,30.5
5_4478,여,10,500,1249,1034,552,310,625,593,555,540,540,673,275,292,412,258,382,127,22,200,25.5
5_4479,여,10,480,1305,1105,607,300,618,584,547,485,482,608,257,300,430,322,340,117,18,191,21
